"Your account is not allowed to access this store.","Ihr Benutzerkonto ist für diesen Shop nicht freigeschaltet."
"Please login","Bitte einloggen"
"General settings","Allgemeine Einstellungen"
"Enable B2B extension","B2B Extension aktivieren"
"Activate by category","Für Kategorien aktivieren"
"Active categories","Aktive Kategorien"
"Check for User Website","Website des Benutzers prüfen"
"Activate by customer group","Für Kundengruppen aktivieren"
"Active customer groups","Aktive Kundengruppen"
"Check which website the user belongs to, otherwise the check is for store; useful for setups with multiple websites","Überprüfe zu welcher Webseite der Nutzer gehört, ansonsten überprüfe zu welchem Store er gehört, nützlich für Setups mit mehreren Websites"
"Enable or disable extension. Customer activation behaviour can be configured under <br />""Customer Configuration > Customer activation""","Aktivieren oder Deaktivieren der Extension. Verhalten bei der Kundenaktivierung kann konfiguriert werden unter<br />""Kundenkonfiguration > Kundenaktivierung"""
"Activate customers for all stores. Otherwise they will only see the prices in the store, they have registered for.","Kunden für alle Ladenansichten aktivieren. Anderenfalls werden sie nur in den Ladenansichten Preise sehen können, für die sie sich registriert haben."
"Activate extension only for categories selected below","Extension nur für folgende Kategorien aktivieren"
"Select categories for which the extension should be active.<br />Hold down Ctrl-key for multiple selection.<br />Be aware, that a product with multiple categories can not be checked out if one of its categories is selected here.","Kategorien auswählen, für die die Extension aktiviert werden soll.<br />Für Mehrfachauswahl Strg-Taste halten.<br />Beachten Sie bitte, dass man nicht mit einem Produkt auschecken kann, wenn er mindestens einer dieser Kategorien zugeordnet ist."
"Activate extension only for customer groups selected below","Extension nur für Kunden aus folgenden Kundengruppen aktivieren."
"Select customer groups for which the extension should be active.<br />Hold down Ctrl-key for multiple selection.","Kundengruppen auswählen, für die die Extension aktiviert werden soll.<br />Für Mehrfachauswahl Strg-Taste halten."
"When activating this extension by customer group the guest user is also included.","Beim Aktivieren von Kundengruppen wird die Extension ebenfalls für Gast-Benutzer freigeschaltet"
"Require User Login","Nutzer muss sich einloggen"
"The user is required to login before they can view pages in this shop. <br /> Note: CMS pages are always allowed.","Der Nutzer muss sich einloggen bevor Seiten im Shop aufgerufen werden können. <br /> Hinweis: CMS-Seiten sind immer erlaubt."
"Redirect User To Page","Nutzer auf Seite weiterleiten"
"Select which page to redirect a user to.","Wählen Sie die Seite, auf die der Nutzer weitergeleitet werden soll."
"Global customer activation","Kunden global aktivieren"
"Login message","Login Nachricht"
"Message to be shown instead of the price block for not logged in customers.","Text, welcher statt der Preise für nicht eingeloggte Benutzer angezeigt werden soll."
"When activating this extension by customer group users in the selected group will not be able to see prices, plus the guest user is also included.","Wenn diese Extension pro Kundengruppe aktiviert wird, werden die Kunden in den jeweiligen Gruppen plus die Gäste keine Preise sehen können."
