"Your account is not allowed to access this store.","Al tuo account non è concesso accedere a questo Negozio."
"Please login","Prego connettersi"
"General settings","Impostazioni Generali"
"Enable B2B extension","Abilita estensione B2B"
"Activate by category","Attiva per categoria"
"Active categories","Categorie attive"
"Activate by customer group","Attiva per gruppo cliente"
"Active customer groups","Attiva gruppi clienti"
"Enable or disable extension. Customer activation behaviour can be configured under <br />""Customer Configuration > Customer activation""","Abilita o disabilita l'estensione. L'attivazione per i gruppi Cliente puo' essere attivata in <br />""Configurazione Cliente > Attivazione Cliente"""
"Activate customers for all stores. Otherwise they will only see the prices in the store, they have registered for.","Activate customers for all stores. Otherwise they will only see the prices in the store, they have registered for."
"Activate extension only for categories selected below","Attiva l'estensione solo per le categorie selezionate di seguito"
"Select categories for which the extension should be active.<br />Hold down Ctrl-key for multiple selection.<br />Be aware, that a product with multiple categories can not be checked out if one of its categories is selected here.","Seleziona le categoria per le quali l'estensione deve essere attiva.<br />Premi il tasto Ctrl per selezioni multiple.<br />Sappi che, un prodotto con categorie multiple non puo' essere deselezionato se una delle sue categorie e presente in questa lista."
"Activate extension only for customer groups selected below","Attiva l'estensione solo per i gruppi cliente selezionati di seguito"
"Select customer groups for which the extension should be active.<br />Hold down Ctrl-key for multiple selection.","Select customer groups for which the extension should be active.<br />Hold down Ctrl-key for multiple selection."
"When activating this extension by customer group the guest user is also included.","Quando questa estensione e' attivata per gruppo cliente gli utenti ospite sono sempre inclusi."
"Require User Login","Richiede Login Utente"
"The user is required to login before they can view pages in this shop. <br /> Note: CMS pages are always allowed.","All' utente e' richiesto il login prima di poter vedere le pagine di questo negozio. <br /> Nota: le pagine CMS sono sempre concesse."
"Redirect User To Page","Ridirigi Utente alla Pagina"
"Select which page to redirect a user to.","Seleziona a quale pagina ridirigere l'utente."
